Date,IBM US Equity Price,IBM US Equity Hist Vol (10),IBM US Equity Hist Vol (30),IBM US Equity Hist Vol (50),IBM US Equity Hist Vol (100),IBM US Equity Implied Vol
11/14/17,147.6900024,7.506413288,28.76931179,22.87719463,18.71502615,14.50980831
11/13/17,148.4,7.879489156,28.73599328,22.86931514,18.74341352,14.533625
11/10/17,149.16,7.938807896,28.68566374,22.90422615,18.72910885,13.813625
11/09/17,150.3,8.664012988,28.72791307,22.86857151,18.70389276,13.9358125
11/08/17,151.57,7.975659133,28.62049181,22.76595537,18.69401421,13.6943125
11/07/17,151.35,7.891148819,28.62341509,22.79869959,18.69263616,14.1813125
11/06/17,150.84,10.18234806,28.70215846,22.80545188,18.69057338,13.958
11/03/17,151.58,14.69958088,28.66339088,22.8744718,18.71757784,13.811375
11/02/17,153.35,15.3772901,28.39857272,22.69984934,18.62894258,14.052625
11/01/17,154.03,16.99572724,28.34520364,22.67725316,18.62086091,14.226
10/31/17,154.06,18.36862331,28.400783,22.71960378,18.64619428,14.458625
10/30/17,154.36,51.25415971,28.48325878,22.71263325,18.67853094,13.9603125
10/27/17,153.68,51.42420806,28.49322053,22.71313842,18.78483735,13.6895
10/26/17,153.6,51.50749567,28.51455112,22.80738424,18.82183401,14.112125
10/25/17,153.5,51.51217345,28.58912649,23.04997423,18.88234894,14.201375
10/24/17,155.88,50.41532281,28.13472977,22.70622004,18.71211377,13.9638125
10/23/17,159.55,47.93967562,27.00188,21.94272185,18.31499173,12.581125
10/20/17,162.07,45.79495716,26.37559121,21.53102059,18.13911139,11.9156875
10/19/17,160.9,45.8231109,26.64187716,21.51323028,18.10654692,14.056
10/18/17,159.53,46.28395986,26.69483486,21.47197973,18.08059136,15.640875
10/17/17,146.54,7.185494516,9.180114107,9.217975794,11.68052997,19.383625
10/16/17,146.83,7.191889941,9.251594447,9.493283789,11.69806562,18.9736875
10/13/17,147.1,7.108011062,9.537497041,9.887646805,11.72303559,19.340625
10/12/17,147.03,9.081183158,9.739222598,9.891721589,11.73614363,18.7921875
10/11/17,147.62,9.078260377,9.638982727,9.864292943,11.73614006,18.739625
10/10/17,148.5,7.995032661,9.525148225,9.861629178,11.72407069,17.831
10/09/17,147.39,8.382705992,9.38111394,9.76557064,11.73169772,18.406125
10/06/17,146.48,8.09718536,9.68452731,9.684840326,11.68502883,18.503875
10/05/17,146.72,8.333146725,9.766981984,9.763955927,12.03258145,18.432125
10/04/17,146.48,8.401906051,9.86686396,9.771485954,12.26162452,18.675625
10/03/17,146.78,8.734259614,10.03138232,9.851822476,12.32472219,18.8523125
10/02/17,146.66,10.14415498,10.08232336,9.854868804,12.3262421,18.996
09/29/17,145.08,8.571758091,9.710790704,9.673489815,12.20536449,19.610375
09/28/17,145.66,8.289092192,9.913342028,9.67237247,12.22142439,19.6941875
09/27/17,145.66,8.82528101,10.7509391,9.675872828,12.25471909,20.330375
09/26/17,146.56,8.253980421,10.55215288,13.74130467,12.39100561,20.158875
09/25/17,145.87,7.888361847,10.52251537,13.78609088,13.00011576,19.1661875
09/22/17,145.13,8.135263707,10.47097953,13.80416222,12.97641872,18.4151875
09/21/17,145.26,11.98923868,10.46102071,13.85604115,12.98071275,18.843125
09/20/17,145.88,11.80998651,10.34280343,13.83739885,12.97562348,18.930625
09/19/17,144.39,11.55091703,9.976131874,13.62013222,12.91425879,17.868
